Time (seconds),fuktighet
362.99,1008
543.62,1009
724.24,1007
904.86,1006
1085.49,1007
1266.11,1006
1446.74,1006
1627.36,1005
1807.98,1006
1988.61,1006
2169.23,1006
2349.86,1006
2530.48,1004
2711.10,1005
2891.73,1005
3072.35,1005
3252.98,1005
3433.60,1006
3614.22,1005
3794.87,1005
3975.49,1004
4156.12,1005
4336.74,1004
4517.36,1004
4697.99,1004
4878.61,1004
5059.24,1004
5239.86,1004
5420.48,1005
5601.11,1003
5781.73,1003
5962.36,1003
6142.98,1003
6323.60,1003
6504.23,1002
6684.85,1003
6865.48,1003
7046.10,1002
7226.74,1002
7407.37,1002
7588.00,1001
7768.62,1002
7949.24,1002
8129.86,1002
8310.49,1002
8491.11,1001
8671.74,1001
8852.36,1001
9032.98,1002
9213.61,1001
9394.23,1002
9574.86,1000
9755.48,1001
9936.10,1000
10116.73,1001
10297.35,1001
10477.98,1000
10658.60,1000
10839.24,1000
11019.87,1000
11200.49,999
11381.12,999
11561.74,1000
11742.36,1000
11922.99,1000
12103.61,999
12284.24,1000
12464.86,999
12645.48,1000
12826.11,998
13006.73,999
13187.36,999
13367.98,999
13548.60,998
13729.23,998
13909.85,998
14090.48,998
14271.12,998
14451.75,998
14632.37,998
14812.99,998
14993.62,998
15174.24,997
15354.86,998
15535.49,997
15716.11,997
15896.74,998
16077.36,998
16257.98,997
16438.61,998
16619.23,997
16799.86,997
16980.48,996
17161.10,997
17341.73,997
17522.35,997
17702.98,997
17883.62,996
18064.24,998
18244.86,997
18425.49,997
18606.11,997
18786.74,996
18967.36,996
19147.98,996
19328.61,996
19509.23,995
19689.86,996
19870.48,996
20051.10,995
20231.73,996
20412.35,995
20592.98,995
20773.60,996
20954.22,995
21134.85,994
21315.50,995
21496.12,995
21676.74,995
21857.36,995
22037.99,995
22218.61,994
22399.24,995
22579.86,994
22760.48,994
22941.11,994
23121.73,994
23302.36,995
23482.98,994
23663.60,995
23844.23,995
24024.85,993
24205.48,994
24386.10,993
24566.72,994
24747.35,994
24927.99,993
25108.62,993
25289.24,994
25469.86,993
25650.49,994
25831.11,994
26011.74,993
26192.36,993
26372.98,993
26553.61,993
26734.23,993
26914.86,994
27095.48,992
27276.10,993
27456.73,993
27637.35,992
27817.98,992
27998.60,993
28179.23,993
28359.85,992
28540.49,992
28721.12,991
28901.74,992
29082.36,991
29262.99,991
29443.61,993
29624.24,992
29804.86,992
29985.48,991
30166.11,992
30346.73,991
30527.36,991
30707.98,991
30888.60,990
31069.23,991
31249.85,992
31430.48,991
31611.10,991
1.75,471
0.79,477
