Time (seconds),fuktighet,lys,temperatur
1.77,534,59,20
902.34,1003,229,13
1802.34,1001,235,13
2702.34,1002,240,13
3602.34,1001,216,11
4502.34,1000,221,11
5402.34,1001,238,12
6302.34,1001,225,12
7202.34,1000,214,10
8102.34,1000,230,11
9002.34,1001,221,11
9902.34,1001,192,10
10802.34,1000,214,10
11702.34,1001,230,11
12602.34,1001,217,11
13502.34,1000,207,11
14402.34,1001,213,11
15302.34,1000,233,11
16202.34,1000,218,12
17102.34,999,233,12
18002.34,1001,228,12
18902.34,999,222,12
19802.34,999,234,12
20702.34,999,236,11
21602.34,1001,251,16
22502.34,999,250,22
23402.34,998,227,13
24302.34,1000,239,13
25202.34,1000,214,12
26102.34,998,227,12
27002.34,998,233,12
27902.34,999,164,11
28802.34,998,92,10
29702.34,998,0,10
30602.34,999,98,9
31502.34,999,0,9
32402.34,999,0,9
33302.34,998,0,9
34202.34,999,0,9
35102.34,998,0,9
36002.34,999,0,8
36902.34,997,0,8
37802.34,999,0,8
38702.34,998,0,8
39602.34,999,0,8
40502.34,998,0,7
41402.34,999,0,7
42302.34,998,0,7
43202.34,1000,0,7
44102.34,998,0,7
45002.34,999,0,7
45902.34,998,0,7
46802.34,999,0,6
47702.34,999,0,6
48602.34,999,0,7
49502.34,999,0,6
50402.34,999,0,6
51302.34,999,0,6
52202.34,998,0,6
53102.34,999,0,6
54002.34,998,0,6
54902.34,999,26,6
55802.34,998,85,6
56702.34,997,121,6
57602.34,998,143,6
58502.34,998,158,7
59402.34,997,167,7
60302.34,999,177,7
61202.34,998,179,8
62102.34,997,183,7
63002.34,998,187,7
63902.34,998,190,7
64802.34,997,193,7
65702.34,997,196,8
66602.34,999,201,9
67502.34,998,201,10
68402.34,997,202,10
69302.34,997,202,10
70202.34,997,203,10
71102.34,997,204,11
72001.74,544,0,13
1.77,479,98,20
